date,meaning,english,japanese,tagalog,?,
11 Feb 2023,no,,iyada,,,
11 Feb 2023,turtle,turtur,,,,
11 Feb 2023,yes,,"atita, atta",,,
11 Feb 2023,oh no,,yaba ??,,,
,oh no,o no,,,,
,no x3,no no no,,,,
,pupa,pyupa,,,,
,butter,bataa,,,,
,ochichatta,,"ochichata, ochichatuu",,,
,chihuahua,wawa,,,,
,apatosaurus,"apatita, apatitata",,,,
,mother,,,mamma,,
,father,,,pappa,,
17 Feb 2023,aunt,,,titta,,
,older sister,,,ate,,
,apple,"apaa, apa",,,,
,purple,"papur, purpur",,,,
,barber,berber,,,,
,?,,,,mamachitata,
,?,,,,papachitata,
,kuya (character in a book),,,kuya,,
,nanay (character in a book),,,nana,,
,eat,eet,,,,
,open,"apii, ape, ope",,,,
,ball,"pou, bou",,,,
,horse sound,ney ney ney,,,,
,cow sound,muu muu muu,,,,
,duck sound,ka ka ka,,,,
,chicken sound,ka ka ka,,,,
,dog sound,fuu fuu fuu,,,,
,sheep sound,ba ba ba,,,,
,blue,"puu, buu",,,,
,pee,pii,,,,
,owl,awu,,,,
,eye,"aye, ai",,,,
,more,moo (long o),,,,
,park (noun),payi,,,,
,moon,"mou, muu",,,,
,karga,,,"kaaka, kaaga",,
,buy,"bayi, bai",,,,
,nose,,hana !!,,,
,mouth,,kuchi !!,,,
,eye,,me !!,,,
,ear,,mimi !!,,,
,two,tuu,,,,
,yay!,"yaay, yayii",,,,
,bus,batt,,,,
,nomnom (fake bite),ammm,,,,
,over here,,acchi,,,
,potato,"potita, potito, pochita, pochito",,,,
,fire,"waya, fayaw",,,,
,mochi,,pacchi,,,
,balloon,bayaa,,,,
,car,caa,,,,
,tea,tii,,,,
,star ,taa,,,,
,A (the letter),ey,,,,
,B (the letter),bi,,,,
,C (the letter),si,,,,
,D (the letter),di,,,,
,E (the letter),e,,,,
,G (the letter),ji,,,,
,I (the letter),ai,,,,
,M (the letter),emm,,,,
,N (the letter),enn,,,,
,O (the letter),ow,,,,
,P (the letter),pi,,,,
,R (the letter),ar,,,,
,T (the letter),ti,,,,
,Y (the letter),wai,,,,
,Z (the letter),zi,,,,
,ouch,,"itayi, itayii, itai !!",,,
,bye bye,bai bai !!,,,,
,hippo,hipo,,,,
,bear,beaa,,,,
,panda,"panna, batta",,,,
,wet,,,"bacha, basha, baya",,
,eight,eet,,,,
,nine,"nain, naii",,,,
,ten,ten,,,,
,six,si,,,,
,bulldozer,boyata,,,,
,bread,,,pai,,
,eat,eet,,,,
,taxi,tatti,,,,
,father,,,tata,,
,mother,"meme, mimi, mommy !!",,,,23 Apr 2023
,bobo (character in a book),boubou,,,,
,finished ,,owatta !!,,,
4 Apr 2023,no,,,ayaw !!,,4 Apr 2023
,tail,tii,,,,
,fly,uwai,,,,
,bee,bee ,,,,
8 Apr 2023,none/nothing,,,"waya, wayaw",,
8 Apr 2023,hurry,"hayii, hatii",,,,
8 Apr 2023,pizza,pitta,,,,
8 Apr 2023,four,fuu,,,,
8 Apr 2023,five,fai,,,,
9 Apr 2023,stay,tiia,,,,
9 Apr 2023,happy ,hapii,,,,
9 Apr 2023,ouch,au,,,,
9 Apr 2023,dirty ,"taati, dati",,,,
9 Apr 2023,bottle ,botoo,,,,
10 Apr 2023,hat ,hat,,,,
10 Apr 2023,heavy,"heve, eve, ebe",,,,
10 Apr 2023,father,,,"tatay, tatai !!",,17 Apr 2023
10 Apr 2023,happy,apii,,,,
11 Apr 2023,many,,ippai !!,,,11 Apr 2023
12 Apr 2023,nose,nou,,,,
12 Apr 2023,cheek,chiit,,,,
12 Apr 2023,mouth,"mou, mau",,,,
12 Apr 2023,eyebrow,,,"titai, ditai, didai, kiiiyay",,
12 Apr 2023,shoes,"tuut, chuut",,,,
12 Apr 2023,bib,"biib, piip",,,,
12 Apr 2023,cheese ,"cheee, cheet",,,,
13 Apr 2023,okay,"otee, otii",,,,
13 Apr 2023,it's here,,atta !!,,,
13 Apr 2023,heart,hatt,,,,
13 Apr 2023,honey,"hannee, annee",,,,
13 Apr 2023,water ,"owatta, uotaa",,,,
14 Apr 2023,stay,"teee, teei",,,,
15 Apr 2023,t-rex,tii,,,,
15 Apr 2023,hot,hot,,,,
15 Apr 2023,cut (verb),cut !!,,,,15 Apr 2023
15 Apr 2023,it's gone ,,"icchatta, ittatta",,,
15 Apr 2023,key,"key, kii",,,,
15 Apr 2023,ako,,,ako*,,
15 Apr 2023,opposite ,"apatii, opatii, opotii",,,,
16 Apr 2023,cook,cook !!,,,,16 Apr 2023
16 Apr 2023,butt,"batt, butt",,,,
16 Apr 2023,button,"bottoo, botoo, potoo",,,,
16 Apr 2023,accident ,atiti,,,,
16 Apr 2023,foot,fut,,,,
16 Apr 2023,hi ,hee,,,,
17 Apr 2023,far,faa,,,,
17 Apr 2023,here,hii,,,,
18 Apr 2023,money,manee,,,,
18 Apr 2023,boy,boi,,,,
18 Apr 2023,baby,beibi,,,,
19 Apr 2023,three,"thhh, tii",,,,
19 Apr 2023,one,daa,,,,
20 Apr 2023,arm,ahmm,,,,
21 Apr 2023,here,,kocchi !!,,,21 Apr 2023
22 Apr 2023,hole,haul,,,,
22 Apr 2023,white,whi,,,,
22 Apr 2023,meat,mit,,,,
23 Apr 2023,there,dee,,,,
23 Apr 2023,yes,,hai !! *,,,23 Apr 2023
23 Apr 2023,head ,head !!,,,,24 Apr 2023
25 Apr 2023,papaya ,papata,,,,
25 Apr 2023,bloomed ,,tachita,,,
25 Apr 2023,peek-a-boo ,t(d)ittab(p)oo,nai nai baa,,,
26 Apr 2023,eleven ,,,,,
26 Apr 2023,twelve ,,,,,
26 Apr 2023,thirteen ,,,,,
26 Apr 2023,fourteen ,,,,,
26 Apr 2023,fifteen ,,,,,
26 Apr 2023,seven,dadee,,,,
26 Apr 2023,yeah,yeah !!,,,,
27 Apr 2023,door,daaw,,,,
27 Apr 2023,up,app,,,,
27 Apr 2013,peacock ,peetou,,,,
27 Apr 2023,bed,beed,,,,
28 Apr 2023,curry,kaee,,,,
28 Apr 2023,truck,kuck,,,,
28 Apr 2023,food,foo,,,,
29 Apr 2023,people ,peepou,,,,
29 Apr 2023,bag ,badd,,,,
29 Apr 2023,udon,,utta,,,
29 Apr 2023,egg,ett,,,,
29 Apr 2023,tall,tooll,,,,
29 Apr 2023,doctor,dottor,,,,
29 Apr 2023,boat,boat !!,,,,29 Apr 2023
29 Apr 2023,bubble ,babol,,,,
29 Apr 2023,hi ,hi !!,,,,29 Apr 2023
29 Apr 2023,yellow ,,kiiyo,,,
30 Apr 2023,bird,"budd, baad",,,,
30 Apr 2023,pull,puu,,,,
30 Apr 2023,push ,puu,,,,
30 Apr 2023,red,"dead, wead",akai,,,
30 Apr 2023,down,dau,,,,
30 Apr 2023,wheel,whee,,,,
1 May 2023,tree,,kii,,,
1 May 2023,zero,dito,,,,
2 May 2023,bread,beed,,,,
2 May 2023,big,bii,,,,
2 May 2023,one,waa,,,,
3 May 2023,black,batt,,,,
3 May 2023,pink,piit,,,,
3 May 2023,pickle,picho,,,,
3 May 2023,pie,pie !!,,,,3 May 2023
3 May 2023,put,put !!,,,,3 May 2023
3 May 2023,hit,hiit,,,,
3 May 2023,car,kaa,,,,
4 May 2023,koi nobori,,doi doi doi,,,
4 May 2023,green,"tiii, diii",,,,
5 May 2023,avocado,"apato, apado",,,,
5 May 2023,bamboo,baboo,,,,
5 May 2023,many,many !!,,,,5 May 2023
5 May 2023,train,teee,,,,
5 May 2023,go down,,,baba !!,,5 May 2023
5 May 2023,brown,bau,,,,
5 May 2923,monkey,doti,,,,
5 May 2023,itchy ,ittii,,,,
5 May 2023,uncle,,,tito !!,,5 May 2023
5 May 2023,sleep ,,nenne !!,,,
5 May 2023,banana,,,saajii,,
